DATE,IRSTCI01INM156N
11/1/2002,6.25
12/1/2002,6.25
1/1/2003,6.25
2/1/2003,6.25
3/1/2003,6.25
4/1/2003,6.25
5/1/2003,6
6/1/2003,6
7/1/2003,6
8/1/2003,6
9/1/2003,6
10/1/2003,6
11/1/2003,6
12/1/2003,6
1/1/2004,6
2/1/2004,6
3/1/2004,6
4/1/2004,6
5/1/2004,6
6/1/2004,6
7/1/2004,6
8/1/2004,6
9/1/2004,6
10/1/2004,6
11/1/2004,6
12/1/2004,6
1/1/2005,6
2/1/2005,6
3/1/2005,6
4/1/2005,6
5/1/2005,6
6/1/2005,6
7/1/2005,6
8/1/2005,6
9/1/2005,6
10/1/2005,6
11/1/2005,6
12/1/2005,6
1/1/2006,6
2/1/2006,6
3/1/2006,6
4/1/2006,6
5/1/2006,6
6/1/2006,6
7/1/2006,6
8/1/2006,6
9/1/2006,6
10/1/2006,6
11/1/2006,6
12/1/2006,6
1/1/2007,6
2/1/2007,6
3/1/2007,6
4/1/2007,6
5/1/2007,6
6/1/2007,6
7/1/2007,6
8/1/2007,6
9/1/2007,6
10/1/2007,6
11/1/2007,6
12/1/2007,6
1/1/2008,6
2/1/2008,6
3/1/2008,6
4/1/2008,6
5/1/2008,6
6/1/2008,6
7/1/2008,6
8/1/2008,6
9/1/2008,6
10/1/2008,6
11/1/2008,6
12/1/2008,6
1/1/2009,6
2/1/2009,6
3/1/2009,6
4/1/2009,6
5/1/2009,6
6/1/2009,6
7/1/2009,6
8/1/2009,6
9/1/2009,6
10/1/2009,6
11/1/2009,6
12/1/2009,6
1/1/2010,6
2/1/2010,6
3/1/2010,6
4/1/2010,6
5/1/2010,6
6/1/2010,6
7/1/2010,6
8/1/2010,6
9/1/2010,6
10/1/2010,6
11/1/2010,6
12/1/2010,6
1/1/2011,6
2/1/2011,6
3/1/2011,6
4/1/2011,6
5/1/2011,6
6/1/2011,6
7/1/2011,6
8/1/2011,6
9/1/2011,6
10/1/2011,6
11/1/2011,6
12/1/2011,6
1/1/2012,6
2/1/2012,7.75
3/1/2012,9.5
4/1/2012,9.25
5/1/2012,9
6/1/2012,9
7/1/2012,9
8/1/2012,9
9/1/2012,9
10/1/2012,9
11/1/2012,9
12/1/2012,9
1/1/2013,9
2/1/2013,8.75
3/1/2013,8.65
4/1/2013,8.5
5/1/2013,8.25
6/1/2013,8.25
7/1/2013,9.25
8/1/2013,10.25
9/1/2013,9.875
10/1/2013,9.125
11/1/2013,8.75
12/1/2013,8.75
1/1/2014,8.8
2/1/2014,9
3/1/2014,9
4/1/2014,9
5/1/2014,9
6/1/2014,9
7/1/2014,9
8/1/2014,9
9/1/2014,9
10/1/2014,9
11/1/2014,9
12/1/2014,9
1/1/2015,8.85
2/1/2015,8.75
3/1/2015,8.5
4/1/2015,8.5
5/1/2015,8.5
6/1/2015,8.25
7/1/2015,8.25
8/1/2015,8.25
9/1/2015,8.25
10/1/2015,7.75
11/1/2015,7.75
12/1/2015,7.75
1/1/2016,7.75
2/1/2016,7.75
3/1/2016,7.75
4/1/2016,7.15
5/1/2016,7
6/1/2016,7
7/1/2016,7
8/1/2016,7
9/1/2016,7
10/1/2016,6.75
11/1/2016,6.75
12/1/2016,6.75
1/1/2017,6.75
2/1/2017,6.75
3/1/2017,6.75
4/1/2017,6.5
5/1/2017,6.5
6/1/2017,6.5
7/1/2017,6.5
8/1/2017,6.25
9/1/2017,6.25
10/1/2017,6.25
11/1/2017,6.25
12/1/2017,6.25
1/1/2018,6.25
2/1/2018,6.25
3/1/2018,6.25
4/1/2018,6.25
5/1/2018,6.25
6/1/2018,6.45
7/1/2018,6.5
8/1/2018,6.75
9/1/2018,6.75
10/1/2018,6.75
11/1/2018,6.75
12/1/2018,6.75
1/1/2019,6.75
2/1/2019,6.5625
3/1/2019,6.5
4/1/2019,6.25
5/1/2019,6.25
6/1/2019,6
7/1/2019,6
8/1/2019,5.72
9/1/2019,5.65
10/1/2019,5.4
